StorySentences,NSBs,Cue,Neg1.thisRepN,Neg1.thisTrialN,Neg1.thisN,Neg1.thisIndex,NSB1.thisRepN,NSB1.thisTrialN,NSB1.thisN,NSB1.thisIndex,Start_Button.started,Start_Button.numClicks,Start_Button.timesOn,Start_Button.timesOff,ConditionTextBox.started,ConditionDone.started,ConditionText.started,ConditionTextBox.text,ConditionDone.numClicks,ConditionDone.timesOn,ConditionDone.timesOff,GetReady_Text.started,GetRead_Cross.started,GetReady_Text.stopped,GetRead_Cross.stopped,StorySentence_Text.started,Rating_Text.started,Rating_Response.started,Rating_Done.started,Rating_Response.response,Rating_Response.rt,Rating_Done.numClicks,Rating_Done.timesOn,Rating_Done.timesOff,Trial_NSB.started,Trial_Cue.started,Trial_Cue.stopped,Trial_RatingText.started,Trial_RatingResponse.started,Trial_NSB.stopped,Trial_ResponseDone.started,Trial_RatingResponse.response,Trial_RatingResponse.rt,Trial_RatingResponse.history,Trial_ResponseDone.numClicks,Trial_ResponseDone.timesOn,Trial_ResponseDone.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
Leo ut,,,0,0,0,0,,,,,9.932894599995052,1,[0.7833413999978802],[0.7833449000027031],10.720206599995436,10.720206599995436,10.720206599995436,Condition 1,1,[6.248459599999478],[6.2484630000035395],16.96609729999909,16.96609729999909,19.97366019999754,19.97366019999754,19.97366019999754,,,,,,,,,,,,,,,,,,,,,,210007,001,2023-08-22_23h16.48.514,Dashboard,2023.1.2,358.1879985265341,
accusamus. Turpis,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,22.969259799996507,,,,,,,,,,,,,,,,,,,,,,210007,001,2023-08-22_23h16.48.514,Dashboard,2023.1.2,358.1879985265341,
volutpat,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,25.968683299994154,,,,,,,,,,,,,,,,,,,,,,210007,001,2023-08-22_23h16.48.514,Dashboard,2023.1.2,358.1879985265341,
mauris,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,28.968670599999314,,,,,,,,,,,,,,,,,,,,,,210007,001,2023-08-22_23h16.48.514,Dashboard,2023.1.2,358.1879985265341,
porta,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,31.968490699997346,,,,,,,,,,,,,,,,,,,,,,210007,001,2023-08-22_23h16.48.514,Dashboard,2023.1.2,358.1879985265341,
"ut,",,,0,5,5,5,,,,,,,,,,,,,,,,,,,,34.969341500000155,,,,,,,,,,,,,,,,,,,,,,210007,001,2023-08-22_23h16.48.514,Dashboard,2023.1.2,358.1879985265341,
molestie,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,37.96847259999777,,,,,,,,,,,,,,,,,,,,,,210007,001,2023-08-22_23h16.48.514,Dashboard,2023.1.2,358.1879985265341,
turpis.,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,40.96878789999755,,,,,,,,,,,,,,,,,,,,,,210007,001,2023-08-22_23h16.48.514,Dashboard,2023.1.2,358.1879985265341,
,"Eleifend tellus primis consequat curabitur, volutpat, euismod sem arcu sagittis molestie.",REACT,,,,,0,0,0,0,,,,,,,,,,,,,,,,,43.98107219999656,43.98107219999656,60.504538799999864,4.0,20.015598800004227,1,[4.605130799995095],[4.605133400000341],65.12254519999988,68.10693370000081,80.11160989999917,80.11160989999917,80.11160989999917,80.12522249999893,81.70333129999926,4.0,18.101259399998526,"[(4.0, 16.57441220000328), (3.0, 17.003974300001573), (2.0, 17.3456909000015), (3.0, 17.757598800002597), (4.0, 18.101259399998526)]",1,[2.4650286000032793],[2.465031400002772],210007,001,2023-08-22_23h16.48.514,Dashboard,2023.1.2,358.1879985265341,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.1740731999962,87.164921399999,,,,,,,,,,,,,,,,,,
