StorySentences,NSBs,Cue,Neg1.thisRepN,Neg1.thisTrialN,Neg1.thisN,Neg1.thisIndex,NSB1.thisRepN,NSB1.thisTrialN,NSB1.thisN,NSB1.thisIndex,Start_Button.started,Start_Button.numClicks,Start_Button.timesOn,Start_Button.timesOff,ConditionTextBox.started,ConditionDone.started,ConditionTextBox.text,ConditionDone.numClicks,ConditionDone.timesOn,ConditionDone.timesOff,GetReady_Text.started,GetRead_Cross.started,StorySentence_Text.started,Rating_Text.started,Rating_Response.started,Rating_Done.started,Rating_Response.response,Rating_Response.rt,Rating_Done.numClicks,Rating_Done.timesOn,Rating_Done.timesOff,Trial_NSB.started,Trial_Cue.started,Trial_Cue.stopped,Trial_RatingText.started,Trial_RatingResponse.started,Trial_NSB.stopped,Trial_ResponseDone.started,Trial_RatingResponse.response,Trial_RatingResponse.rt,Trial_ResponseDone.numClicks,Trial_ResponseDone.timesOn,Trial_ResponseDone.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
Leo ut,,,0,0,0,0,,,,,14.007150699999329,1,[22.089264600001115],[22.08927010000116],36.071426300000894,36.071426300000894,Condtion 1,1,[86.7263256999995],[86.72632879999946],122.76192769999943,122.76192769999943,125.77509680000003,,,,,,,,,,,,,,,,,,,,,664614,001,2023-08-22_14h12.34.338,Dashboard,2023.1.2,377.7761827405686,
accusamus. Turpis,,,0,1,1,1,,,,,,,,,,,,,,,,,128.76873979999982,,,,,,,,,,,,,,,,,,,,,664614,001,2023-08-22_14h12.34.338,Dashboard,2023.1.2,377.7761827405686,
volutpat,,,0,2,2,2,,,,,,,,,,,,,,,,,131.76772680000067,,,,,,,,,,,,,,,,,,,,,664614,001,2023-08-22_14h12.34.338,Dashboard,2023.1.2,377.7761827405686,
mauris,,,0,3,3,3,,,,,,,,,,,,,,,,,134.76637819999996,,,,,,,,,,,,,,,,,,,,,664614,001,2023-08-22_14h12.34.338,Dashboard,2023.1.2,377.7761827405686,
porta,,,0,4,4,4,,,,,,,,,,,,,,,,,137.76558839999961,,,,,,,,,,,,,,,,,,,,,664614,001,2023-08-22_14h12.34.338,Dashboard,2023.1.2,377.7761827405686,
"ut,",,,0,5,5,5,,,,,,,,,,,,,,,,,140.76807159999953,,,,,,,,,,,,,,,,,,,,,664614,001,2023-08-22_14h12.34.338,Dashboard,2023.1.2,377.7761827405686,
molestie,,,0,6,6,6,,,,,,,,,,,,,,,,,143.76938979999977,,,,,,,,,,,,,,,,,,,,,664614,001,2023-08-22_14h12.34.338,Dashboard,2023.1.2,377.7761827405686,
turpis.,,,0,7,7,7,,,,,,,,,,,,,,,,,146.76548189999994,,,,,,,,,,,,,,,,,,,,,664614,001,2023-08-22_14h12.34.338,Dashboard,2023.1.2,377.7761827405686,
,"Eleifend tellus primis consequat curabitur, volutpat, euismod sem arcu sagittis molestie.",REACT,,,,,0,0,0,0,,,,,,,,,,,,,,149.78246679999938,149.78246679999938,172.3565694000008,4.0,22.582114400000137,1,[24.72623289999865],[24.726236999998946],197.09579909999957,200.0805591999997,212.08870849999948,212.08870849999948,212.08870849999948,212.10247399999935,227.70191309999973,2.0,46.676350299998376,1,[108.114892900001],[108.11489780000011],664614,001,2023-08-22_14h12.34.338,Dashboard,2023.1.2,377.7761827405686,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.83720730000096,338.81755780000094,350.83094300000084,350.82301220000045,350.82301220000045,350.84577979999995,,,,,,,,,,,,,
