StorySentences,NSBs,Cue,NeutralStatement,Neg1.thisRepN,Neg1.thisTrialN,Neg1.thisN,Neg1.thisIndex,NSB1.thisRepN,NSB1.thisTrialN,NSB1.thisN,NSB1.thisIndex,Neu1.thisRepN,Neu1.thisTrialN,Neu1.thisN,Neu1.thisIndex,NeuSta1.thisRepN,NeuSta1.thisTrialN,NeuSta1.thisN,NeuSta1.thisIndex,Neg2.thisRepN,Neg2.thisTrialN,Neg2.thisN,Neg2.thisIndex,Start_Button.started,Start_Button.numClicks,Start_Button.timesOn,Start_Button.timesOff,ConditionTextBox.started,ConditionDone.started,ConditionTextBox.text,ConditionDone.numClicks,ConditionDone.timesOn,ConditionDone.timesOff,GetReady_Text.started,GetRead_Cross.started,StorySentence_Text.started,Rating_Text.started,Rating_Response.started,Rating_Done.started,Rating_Response.response,Rating_Response.rt,Rating_Done.numClicks,Rating_Done.timesOn,Rating_Done.timesOff,Trial_NSB.started,Trial_Cue.started,Trial_Cue.stopped,Trial_RatingText.started,Trial_RatingResponse.started,Trial_NSB.stopped,Trial_ResponseDone.started,Trial_RatingResponse.response,Trial_RatingResponse.rt,Trial_ResponseDone.numClicks,Trial_ResponseDone.timesOn,Trial_ResponseDone.timesOff,GetReady_Text.stopped,GetRead_Cross.stopped,NeutralStatement_Text.started,NeutralStatement_Text.stopped,RegulationRating_Text.started,RegulationRating_Response.started,RegulationRating_Done.started,RegulationRating_Response.response,RegulationRating_Response.rt,RegulationRating_Done.numClicks,RegulationRating_Done.timesOn,RegulationRating_Done.timesOff,BContinue_Button.started,BContinue_Text.started,BContinue_Button.numClicks,BContinue_Button.timesOn,BContinue_Button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
Et vulputate,,,,0,0,0,0,,,,,,,,,,,,,,,,,9.741020099958405,1,[1.9542167000472546],[1.9542191000655293],11.696528499945998,11.696528499945998,Cond 1,1,[9.201579699991271],[9.20158240001183],20.899323599995114,20.899323599995114,23.90765750000719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
luctus nullam,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.90031579998322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
urna blandit,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.900191299966536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
duis mi,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.90013059997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
posuere velit,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.89962949999608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
vivamus dictumst.,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.90009959996678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
Ridiculus,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.90057810000144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
nunc.,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.899380299961194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,"Mauris, est? Id diam. Natoque! Facilisis mi pretium posuere molestie faucibus praesent dapibus.",REACT,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,47.91408789996058,47.91408789996058,50.250641499995254,4.0,9.28021659993101,1,[8.987506599980406],[8.987509300000966],59.256589099997655,62.23523979994934,74.240343799931,74.240343799931,74.240343799931,74.25787470000796,75.90979710000101,3.0,16.646720299962908,1,[0.7789130999008194],[0.7789162999251857],,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
,Aliquet blandit eget wisi egestas imperdiet. Vehicula tincidunt proin. Dolor magnis diam laoreet.,REGULATE,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.69894029991701,79.68512679997366,91.68796349992044,91.68796349992044,91.68796349992044,91.70109129999764,92.68714870000258,4.0,15.981844599940814,1,[0.36386429995764047],[0.3638667999766767],,,,,,,,,,,,,,,,,,842842,001,2023-08-18_23h24.36.909,Dashboard,2023.1.2,361.8756732745008,
